PORTAGE PARK,BOULEVARD FOOD & LIQUOR LLC,1
PORTAGE PARK,"CALMA OPTIMAL DELI, INC.",1
PORTAGE PARK,CICERO DELI INC.,1
PORTAGE PARK,GENE'S SAUSAGE SHOP & DELI INC,1
PORTAGE PARK,J & J EUROPEAN DELI,1
PORTAGE PARK,"KRAKUS DELI,  INC",1
PORTAGE PARK,"SZYMANSKI BROS, INC",1
PORTAGE PARK,"TONY'S FINER FOODS ENTERPRISES, INC.",1
PULLMAN,TWO BLUE FOODS INC,1
PULLMAN,WALMART,1
RIVERDALE,J R GROCERY STORE,1
RIVERDALE,KEY FOOD LIQUOR,1
ROGERS PARK,AROUND THE CLOCK,1
ROGERS PARK,BUDGET FINER FOODS,1
ROGERS PARK,CARNICERIA LA AZTECA,1
ROGERS PARK,DEVON MARKET,1
ROGERS PARK,DOMINICK'S #160/1698,1
ROGERS PARK,EDDY'S FOOD MART,1
ROGERS PARK,HALAL MEAT & GROCERY,1
ROGERS PARK,MORSE FOOD AND MEAT MARKET,1
ROGERS PARK,PAULINA SUPER MARKET INC,1
ROGERS PARK,ROMAN BROS 1 INC,1
ROGERS PARK,SAM FOOD AND LIQUOR,1
ROGERS PARK,SUPERMERCADO CHAPALA,1
ROGERS PARK,SUPERMERCADO EL MEXICANO,1
ROSELAND,BUY -N- SAVE,1
ROSELAND,"EDDIE'S SUNSHINE FOOD & LIQUOR,  INC.",1
ROSELAND,HILLTOP LIQUORS MART,1
ROSELAND,KHALIL FOOD & LIQUOR,1
ROSELAND,NANCE FOOD MART,1
ROSELAND,ROSE-RIDGE FOODS,1
ROSELAND,SHOP WISE FOOD,1
SOUTH CHICAGO,FIRST CHOICE MARKET,1
SOUTH CHICAGO,MACIAS PRODUCE INC.,1
SOUTH CHICAGO,SAVE-A-LOT,1
SOUTH CHICAGO,W & R FOOD & LIQUOR INC,1
SOUTH CHICAGO,WALGREENS,1
SOUTH DEERING,ALDI,1
SOUTH DEERING,COMMERCIAL GROCERY,1
SOUTH DEERING,JEWEL,1
SOUTH DEERING,LA FERIA GROCERY,1
SOUTH LAWNDALE,PETE'S FRESH SUPERMARKET,2
SOUTH LAWNDALE,ALDI,1
SOUTH LAWNDALE,CARNICERIA DEL RIO,1
SOUTH LAWNDALE,CERMAK PRODUCE,1
